Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-08-31,167.78,172.62,167.28,169.32,718032
2021-09-01,171,173.9,169.4,170.36,438621
2021-09-02,180,192.96,179.6,189.98,1619048
2021-09-03,189.98,192.06,185,187.02,426207
2021-09-06,187.34,189.2,185.02,188,298438
2021-09-07,186.9,187.58,181.8,185,424729
2021-09-08,185,185,178.3,178.5,466063
2021-09-09,177.9,180.68,176.6,180.68,325655
2021-09-10,180.7,183.86,179.18,181.42,307768
2021-09-13,182.26,188.7,181.5,187.94,489358
2021-09-14,189,189.76,184.24,188.78,427519
2021-09-15,187.4,191.6,186.64,190.86,350844
2021-09-16,191,196.5,191,196.36,597918
2021-09-17,197,199.42,192.28,195,1079275
2021-09-20,192.12,192.26,184,184.42,384305
2021-09-21,184.2,188,183,184.8,367099
2021-09-22,186.2,192.68,185.8,190.1,443804
2021-09-23,191,196.5,190.42,193,256997
2021-09-24,192.74,192.8,184.02,184.02,363197
2021-09-27,185.4,186.14,177.2,181.18,295818
2021-09-28,180.3,185,179,183.82,230900
2021-09-29,184,186.9,183,184.1,137603
2021-09-30,186.1,191.8,184.48,191.8,364149
2021-10-01,190.5,195.4,186.52,189.54,433807
2021-10-04,188.12,188.12,182.5,184.1,423246
2021-10-05,184,194,182.5,194,516587
2021-10-06,192.7,193.78,188,193.14,375756
2021-10-07,190,197.3,189.68,194.1,494755
2021-10-08,193.88,196.7,192.66,194.86,253153
2021-10-11,194.76,197.9,192.8,195.2,272269
2021-10-12,195.16,204.8,195.16,203.9,618027
2021-10-13,203.05,209.4,200.8,208.85,402533
2021-10-14,208.8,212,199.3,200,577646
2021-10-15,200.8,201,188.02,188.12,963877
2021-10-18,188.8,191.5,186.1,189.06,334339
2021-10-19,189.1,197.52,189.1,197.48,303807
2021-10-20,197,197.58,193.5,193.6,209050
2021-10-21,183.42,184.46,175.76,181,1260413
2021-10-22,181,184.98,181,184.28,289500
2021-10-25,185.5,187.68,184.7,187.2,222791
2021-10-26,187.26,188.5,182,182,215290
2021-10-27,181.82,183.14,176.2,178.02,348705
2021-10-28,178.98,180.52,172.82,172.82,370009
2021-10-29,174.1,177.2,172.58,173.88,383668
2021-11-02,176.2,176.2,170.66,173.42,323189
2021-11-03,173.82,177.32,173,173.6,406803
2021-11-04,174.02,181.6,173.22,181.1,281405
2021-11-05,182,183.2,177.42,178.82,206708
2021-11-08,178.82,181.88,178.22,179,85696
2021-11-09,178.4,182.86,178.24,181.7,194948
2021-11-10,182.26,182.5,178.36,180.74,148479
2021-11-12,182.5,187.28,182.08,184.8,305790
2021-11-15,184.72,189.86,183.32,183.32,257870
2021-11-16,184,187.36,182.38,183,247348
2021-11-17,184.5,184.5,179.22,179.94,198916
2021-11-18,179.92,181.88,178,181.34,181267
2021-11-19,180,189.6,178.5,189,463903
2021-11-22,189,197.5,186.6,194.48,604454
2021-11-23,194,201,190.4,201,959888
2021-11-24,199.88,201,186.5,186.54,556521
2021-11-25,189,190.98,185.18,187.08,194865
2021-11-26,185,186.8,181.1,185.52,553810
2021-11-29,187,198.8,186.94,191.52,538882
2021-11-30,180,186.5,175.3,184.5,975100
2021-12-01,183.54,185.6,178.1,185,450969
2021-12-02,182.5,183.7,177.5,180,361135
2021-12-03,181.58,183.58,179.92,181.46,621878
2021-12-06,182.1,185.34,181.1,184,278651
2021-12-07,184.9,189.68,183.4,185.58,364939
2021-12-08,185.4,188.06,183.54,186.2,249958
2021-12-09,184,186.76,178.58,180.14,319071
2021-12-10,179.78,181.3,178.06,178.54,147386
2021-12-13,178.66,183.58,178.66,182.62,266656
2021-12-14,182.62,184.26,172.92,172.92,447537
2021-12-15,173.2,181.56,172.94,179,370788
